raw_name_translated,url,title
Lungs	https://loinc.org/19862-2/	LOINC 19862-2 — Total lung capacity
Inj.medic. under fluoro in purse or artic.m.inf	https://loinc.org/	LOINC: Home
Pelvic CT scan with contrast	https://loinc.org/24866-6/	LOINC 24866-6 — CT Pelvis W contrast IV
Chest CT without and with contrast	https://loinc.org/29252-4/	LOINC 29252-4 — CT Chest WO contrast
Surface echo (other region)	https://loinc.org/	LOINC: Home
Angio drainage hit. transhep. Biliary	https://loinc.org/	LOINC: Home
CT of chest and abdomen without contrast	https://loinc.org/79098-0/	LOINC 79098-0 — CT Chest and Abdomen and Pelvis 3D ...
CT lower right limb without contrast	https://loinc.org/36288-9/	LOINC 36288-9 — CT Lower extremity WO and W contrast IV
Facet block 4 sites	https://loinc.org/	LOINC: Home
1st catheterized vessel embolization	https://loinc.org/78949-5/	LOINC 78949-5 — Catheterization and angiography ...
CT cervical spine with contrast	https://loinc.org/30592-0/	LOINC 30592-0 — CT Cervical spine WO contrast
Carotid ANGIO CT with contrast (2 manip.)	https://loinc.org/36146-9/	LOINC 36146-9 — CTA Carotid artery W contrast IV
CRID form	https://loinc.org/kb/license/	Knowledge Base – LOINC
Angio catheter insertion and injection	https://loinc.org/62450-2/	LOINC 62450-2 — RF Guidance for placement of catheter in ...
Unilateral percutaneous nephrostomy (PCS)	https://loinc.org/24779-1/	LOINC 24779-1 — RF Guidance for percutaneous placement ...
Echo Biopsy / hepatic cytology	https://loinc.org/69125-3/	LOINC 69125-3 — Deprecated RF Guidance for needle ...
Percutaneous angio gastrostomy	https://loinc.org/24996-1/	LOINC 24996-1 — RF Guidance for percutaneous ...
Mammo by inc.compl. (profile, ax ...) Diagnostic	https://loinc.org/	LOINC: Home
Second right toe	https://loinc.org/38148-3/	LOINC 38148-3 — XR Toe second - right Views
Hail	https://loinc.org/	LOINC: Home
Angioplasty inst. graft aorta stent graft	https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.114.006512	Percutaneous Interventions in Aortic Disease | Circulation
Left femur	https://loinc.org/	LOINC: Home
MRI col. cervical and dorsal C- and C +	https://loinc.org/18726-0/	LOINC 18726-0 — Radiology studies (set)
CT neck without and with contrast	https://loinc.org/36514-8/	LOINC 36514-8 — CT Neck WO contrast
Infil. med. muscle / capsule / sheath / tendon / fascia ms	https://loinc.org/	LOINC: Home
Left knee and / or patella	https://loinc.org/LP30162-9/	LOINC LP30162-9 — Patella
Hospital patient monitoring procedure	https://loinc.org/	LOINC: Home
Reactive hyperthermia doppler	https://loinc.org/30881-7/	LOINC 30881-7 — US.doppler Lower extremity vein
CT neck without contrast	https://loinc.org/36514-8/	LOINC 36514-8 — CT Neck WO contrast
Right knee and / or patella	https://loinc.org/	LOINC: Home
Angio biliary stent implantation	https://loinc.org/LG41823-2/	LOINC LG41823-2 — Region imaged: Abdomen
Echo obst. 0 to 12 weeks. 1 fetus endo route without cl.n.	https://cdn2.hubspot.net/hubfs/3454598/Webinars%20/Billing-And-Coding-Webinars/vRadWebinarSlides-Obstetrical-And-Non-Obstetrical-Pelvic-US-Exams.pdf	Obstetrical and Non-Obstetrical Pelvic Ultrasound ... - HubSpot
Angio drainage cyst or limb abscess	https://loinc.org/42133-9/	LOINC 42133-9 — US Guidance for drainage of abscess and ...
Sinus CT scan with contrast	https://loinc.org/36529-6/	LOINC 36529-6 — CT Sinuses WO contrast
Cephalometry	https://loinc.org/	LOINC: Home
Enlargement breast D by mass 35-49 and 70 and +	https://loinc.org/42174-3/	LOINC 42174-3 — FFD mammogram Breast - bilateral ...
Image manipulation of C + joints	https://loinc.org/	LOINC: Home
Retrograde or antegrade pyelography (SOP)	https://www.hopkinsmedicine.org/health/treatment-tests-and-therapies/antegrade-pyelogram	Antegrade Pyelogram | Johns Hopkins Medicine
Echo obst. 0 to 12 weeks trans and endo	https://pubs.acs.org/doi/10.1021/acs.chemrev.5b00705	Long-Chain Aliphatic Polymers To Bridge the Gap between ...
MRI internal auditory canals without contrast	https://loinc.org/43769-9/	LOINC 43769-9 — MR Brain and Internal auditory canal WO ...
Doppler conveyor belt	https://loinc.org/39504-6/	LOINC 39504-6 — US.doppler Femoral vessels - right
CT lower right limb without contrast	https://loinc.org/36288-9/	LOINC 36288-9 — CT Lower extremity WO and W contrast IV
Right elbow	https://loinc.org/26111-5/	LOINC 26111-5 — XR Elbow - right Views
MRI abdomen with contrast	https://loinc.org/30668-8/	LOINC 30668-8 — MR Abdomen WO contrast
Second left toe	https://loinc.org/37534-5/	LOINC 37534-5 — XR Toe second - left Views
MRI neck without and with contrast	https://loinc.org/82130-6/	LOINC 82130-6 — MR Face and Neck WO contrast
Voiding cystography	https://loinc.org/43559-4/	LOINC 43559-4 — RF Urinary bladder and Urethra Views W ...
Radiofreq thermoablation or cryablation -1st target	https://aspe.hhs.gov/system/files/pdf/259016/wht-crn-final-reoprt-to-aspe.pdf	the women's health technologies coordinated registry network ...
Right leg	https://loinc.org/	LOINC: Home
Selective angio aortic bundle	https://loinc.org/	LOINC: Home
Endoprosthesis other than vascular	https://loinc.org/	LOINC: Home
Angioplasty inst. vascular endoprosthesis	https://loinc.org/78980-0/	LOINC 78980-0 — Angioplasty balloon product name
Echo abd. and pelv. of the urg. or hosp.	https://loinc.org/87862-9/	LOINC 87862-9 — CT Abdomen WO and CT Abdomen and ...
Sacrum	https://loinc.org/44179-0/	LOINC 44179-0 — XR Sacrum and Coccyx 2 Views
Right ring finger -4th finger	https://loinc.org/LP29978-1/	LOINC LP29978-1 — Finger
MRI left upper limb without contrast	https://loinc.org/38831-4/	LOINC 38831-4 — MR Upper extremity - left WO and W ...
Selective left carotid angio	https://loinc.org/37589-9/	LOINC 37589-9 — RFA Common carotid artery - left Views W ...
