raw_name_translated,url,title
% eosino.urin.	https://loinc.org/25156-1/	LOINC 25156-1 — Eosinophils [Presence] in Urine sediment ...
1-25 (oh) 2-speed d	https://loinc.org/1649-3/	LOINC 1649-3 — Calcitriol [Mass/volume] in Serum or Plasma
25 (oh) -vit. d	https://loinc.org/882-1/	LOINC 882-1 — ABO and Rh group [Type] in Blood
a-1-antitryps. %	https://loinc.org/1825-9/	LOINC 1825-9 — Alpha 1 antitrypsin [Mass/volume] in Serum ...
a-1-glycoprot. %	https://loinc.org/46268-9/	LOINC 46268-9 — ABO and Rh group [Type] in Blood from ...
a-1-glycoprot., elec	https://loinc.org/	LOINC: Home
a.foetoprotein	https://loinc.org/1834-1/	LOINC 1834-1 — Alpha-1-Fetoprotein [Mass/volume] in ...
a.lactic (prelim.)	https://loinc.org/59032-3/	LOINC 59032-3 — Lactate [Mass/volume] in Blood
a1 antitrypsin	https://loinc.org/1825-9/	LOINC 1825-9 — Alpha 1 antitrypsin [Mass/volume] in Serum ...
a1-antitrypsin, elec	https://loinc.org/1825-9/	LOINC 1825-9 — Alpha 1 antitrypsin [Mass/volume] in Serum ...
a2-macroglob. %	https://loinc.org/50176-7/	LOINC 50176-7 — Alpha-2-Macroglobulin/Protein.total in ...
a2-macroglob., elec	https://loinc.org/50176-7/	LOINC 50176-7 — Alpha-2-Macroglobulin/Protein.total in ...
acth	https://loinc.org/34541-3/	LOINC 34541-3 — ACTH stimulation test using IM ...
alt	https://loinc.org/1742-6/	LOINC 1742-6 — Alanine aminotransferase [Enzymatic ...
arn hiv-1	https://loinc.org/5017-9/	LOINC 5017-9 — HIV 1 RNA [Presence] in Blood by NAA with ...
arn hiv-1 / log	https://loinc.org/5017-9/	LOINC 5017-9 — HIV 1 RNA [Presence] in Blood by NAA with ...
ast	https://loinc.org/1920-8/	LOINC 1920-8 — Aspartate aminotransferase [Enzymatic ...
ac fac.intrins.	https://loinc.org/	LOINC: Home
ac.anti thyroglobulin	https://loinc.org/8098-6/	LOINC 8098-6 — Thyroglobulin Ab [Units/volume] in Serum or ...
ac. valproic	https://loinc.org/4086-5/	LOINC 4086-5 — Valproate [Mass/volume] in Serum or Plasma
folic acid	https://loinc.org/2284-8/	LOINC 2284-8 — Folate [Mass/volume] in Serum or Plasma
acid lac.art. ser.	https://loinc.org/2518-9/	LOINC 2518-9 — Lactate [Moles/volume] in Arterial blood
Lactic acid	https://loinc.org/2518-9/	LOINC 2518-9 — Lactate [Moles/volume] in Arterial blood
Uric acid	https://loinc.org/3084-1/	LOINC 3084-1 — Urate [Mass/volume] in Serum or Plasma
bile acids	https://loinc.org/14628-2/	LOINC 14628-2 — Bile acid [Moles/volume] in Serum or Plasma
act. anti-xa bpm	https://loinc.org/3184-9/	LOINC 3184-9 — Activated clotting time (ACT) of Blood by ...
act. anti-xa rivaro.	https://loinc.org/3184-9/	LOINC 3184-9 — Activated clotting time (ACT) of Blood by ...
acetaminophen	https://loinc.org/60048-6/	LOINC 60048-6 — Acetaminophen [Mass/volume] in Blood
ag carcino emb.	https://loinc.org/2039-6/	LOINC 2039-6 — Carcinoembryonic Ag [Mass/volume] in ...
albumin	https://loinc.org/1751-7/	LOINC 1751-7 — Albumin [Mass/volume] in Serum or Plasma
albumin%	https://loinc.org/1751-7/	LOINC 1751-7 — Albumin [Mass/volume] in Serum or Plasma
albumin, liq.	https://loinc.org/54347-0/	LOINC 54347-0 — Albumin [Moles/volume] in Serum or Plasma
albumin, urine	https://loinc.org/1753-3/	LOINC 1753-3 — Albumin [Presence] in Urine
albumin, elec.	https://loinc.org/13980-8/	LOINC 13980-8 — Albumin/Protein.total in Serum or Plasma ...
albumin-u 24 h	https://loinc.org/30003-8/	LOINC 30003-8 — Microalbumin [Mass/volume] in 24 hour Urine
albumin-u mict.	https://loinc.org/1753-3/	LOINC 1753-3 — Albumin [Presence] in Urine
ammonia	https://loinc.org/32664-5/	LOINC 32664-5 — Ammonia [Mass/volume] in Blood
amylase, liq.	https://loinc.org/72272-8/	LOINC 72272-8 — Amylase and triacylglycerol lipase panel ...
anti dna unit	https://loinc.org/5130-0/	LOINC 5130-0 — DNA double strand Ab [Units/volume] in ...
anti heparin	https://loinc.org/81281-8/	LOINC 81281-8 — Heparin dose response panel - Blood
